Level,Rarity,Name,Traits,Size,Source
-1,Uncommon,Animated Blades,Construct; Mindless; Uncommon,Tiny,Pathfinder #175: Broken Tusk Moon pg. 32
-1,Common,Unseen Servant,Mindless,Medium,Core Rulebook pg. 380 4.0
-1,Common,Miriel Grayleaf,Elf; Humanoid,Medium,Pathfinder #157: Devil at the Dreaming Palace pg. 7
-1,Common,Red Fox,Animal,Tiny,Bestiary 3 pg. 102
-1,Common,Teacher,Human; Humanoid,Medium,Gamemastery Guide pg. 240
-1,Common,Animated Broom,Construct; Mindless,Small,Bestiary pg. 20
-1,Common,Bloodseeker,Animal,Tiny,Bestiary pg. 42
-1,Common,Eagle,Animal,Small,Bestiary pg. 141
-1,Common,Flash Beetle,Animal,Small,Bestiary pg. 41
-1,Common,Goblin Warrior,Goblin; Humanoid,Small,Bestiary pg. 180
-1,Common,Librarian,Human; Humanoid,Medium,Gamemastery Guide pg. 240
-1,Unique,Masu,Animal; Unique,Tiny,Pathfinder #179: Cradle of Quartz pg. 16
-1,Uncommon,Floating Femur,Construct; Mindless; Uncommon,Tiny,Pathfinder #181: Zombie Feast pg. 82
-1,Uncommon,Khefak Scuttler,Animal; Uncommon,Small,Pathfinder #173: Doorway to the Red Star pg. 87
-1,Common,Merchant,Human; Humanoid,Medium,Gamemastery Guide pg. 244
-1,Common,Raven,Animal,Tiny,Bestiary 2 pg. 221 2.0
-1,Common,Server,Human; Humanoid,Medium,Gamemastery Guide pg. 238
-1,Common,Skebs,Halfling; Humanoid,Small,Pathfinder #157: Devil at the Dreaming Palace pg. 8
-1,Common,Skunk,Animal,Tiny,Bestiary 3 pg. 246
-1,Common,Trilobite,Animal; Aquatic,Tiny,Bestiary 3 pg. 275
-1,Common,Weasel,Animal,Tiny,Bestiary 3 pg. 291
-1,Common,Abberton Ruffian,Human; Humanoid,Medium,Pathfinder #151: The Show Must Go On pg. 9
-1,Common,Adept,Human; Humanoid,Medium,Gamemastery Guide pg. 228
-1,Common,Apprentice,Human; Humanoid,Medium,Gamemastery Guide pg. 244
-1,Common,Barrister,Human; Humanoid,Medium,Gamemastery Guide pg. 232
-1,Common,Beaver,Animal,Small,Pathfinder #176: Lost Mammoth Valley pg. 82
-1,Uncommon,Black Tear Cutthroat,Human; Humanoid; Uncommon,Medium,Kingmaker Adventure Path pg. 26
-1,Uncommon,Burnbearer,Human; Humanoid; Uncommon,Medium,Pathfinder #175: Broken Tusk Moon pg. 23
-1,Uncommon,Chattering Jaws,Construct; Mindless; Uncommon,Tiny,Pathfinder #181: Zombie Feast pg. 82
-1,Uncommon,Clockwork Spy,Clockwork; Construct; Mindless; Uncommon,Tiny,Bestiary 3 pg. 48
-1,Common,Compsognathus,Animal; Dinosaur,Tiny,Bestiary 2 pg. 80 2.0
-1,Rare,Follower Of Shumfallow,Fungus; Leshy; Rare,Small,Pathfinder #178: Punks in a Powderkeg pg. 25
-1,Common,Giant Centipede,Animal,Medium,Bestiary pg. 61
-1,Common,Giant Rat,Animal,Small,Bestiary pg. 276
-1,Uncommon,Gold Tank Investor,Human; Humanoid; Uncommon,Medium,Pathfinder #178: Punks in a Powderkeg pg. 14
-1,Common,Guard Dog,Animal,Small,Bestiary pg. 102
-1,Common,Kobold Warrior,Humanoid; Kobold,Small,Bestiary pg. 212
-1,Uncommon,Sludgespine Killers,Gnoll; Humanoid; Uncommon,Medium,Pathfinder #178: Punks in a Powderkeg pg. 25
-1,Common,Tax Collector,Human; Humanoid,Medium,Gamemastery Guide pg. 224
-1,Uncommon,Thorn River Bandit,Human; Humanoid; Minion; Uncommon,Medium,Kingmaker Adventure Path pg. -1
-1,Common,Tooth Fairy,Fey,Tiny,Bestiary 3 pg. 273
-1,Common,Urchin,Human; Humanoid,Medium,Gamemastery Guide pg. 215
-1,Common,Viper,Animal,Tiny,Bestiary pg. 302
-1,Common,Vulture Rat,Animal,Small,Travel Guide pg. 99
-1,Common,Antaro Boldblade,Human; Humanoid,Medium,Pathfinder #157: Devil at the Dreaming Palace pg. 8
-1,Common,Apothecary,Human; Humanoid,Medium,Gamemastery Guide pg. 220
-1,Common,Common Eurypterid,Amphibious; Animal,Medium,Bestiary 3 pg. 97
-1,Common,Grimple,Fey; Gremlin,Tiny,Bestiary 3 pg. 120
-1,Common,Haniver,Amphibious; Fey; Gremlin,Tiny,Bestiary 3 pg. 120
-1,Common,Harrow Reader,Human; Humanoid,Medium,Gamemastery Guide pg. 228
-1,Common,Judge,Human; Humanoid,Medium,Gamemastery Guide pg. 224
-1,Common,Monkey,Animal,Tiny,Bestiary 3 pg. 172
-1,Common,Physician,Human; Humanoid,Medium,Gamemastery Guide pg. 220
-1,Common,Servant,Human; Humanoid,Medium,Gamemastery Guide pg. 222
-1,Uncommon,Silverfish Swarm,Animal; Swarm; Uncommon,Large,Pathfinder #169: Kindled Magic pg. 84
-1,Common,Snapping Turtle,Animal,Tiny,Bestiary 2 pg. 269 2.0
-1,Common,Beggar,Human; Humanoid,Medium,Gamemastery Guide pg. 214
-1,Common,Commoner,Human; Humanoid,Medium,Gamemastery Guide pg. 214
-1,Common,Foolish Hunters,Human; Humanoid,Medium,Crown of the Kobold King pg. 25
